company_name,title,description,required_skills,location,job_type,job_location_type,experience_level,min_experience,experience_required,salary,tags,is_boosted
BluePeak Studio,Software Engineer,"BluePeak Studio is hiring a Software Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Unit Testing"", ""PostgreSQL"", ""SQL"", ""Node.js"", ""TypeScript"", ""React""]","New York, NY",Internship,Hybrid,Senior,8,8-10 years,"$62,776 - $76,719","[""software-engineer"", ""design-and-media"", ""hybrid"", ""senior""]",False
OrbitPay,Customer Success Manager,"OrbitPay is hiring a Customer Success Manager to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Onboarding"", ""HRIS"", ""Recruiting"", ""Employee Relations"", ""Interviewing"", ""Performance Reviews"", ""Payroll Coordination""]","Austin, TX",Full-time,Onsite,Mid,4,4-6 years,"$44,696 - $71,632","[""customer-success-manager"", ""payments"", ""onsite"", ""mid""]",False
BrightPath Learning,Talent Acquisition Specialist,"BrightPath Learning is hiring a Talent Acquisition Specialist to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Journey Mapping"", ""Design Systems"", ""User Research"", ""Accessibility""]","Bengaluru, India",Full-time,Onsite,Senior,5,5-7 years,"$51,070 - $72,653","[""talent-acquisition-specialist"", ""education-technology"", ""onsite"", ""senior""]",False
NexaHealth Systems,Backend Developer,"NexaHealth Systems is hiring a Backend Developer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""ETL"", ""Statistics"", ""Tableau"", ""A/B Testing""]","Toronto, Canada",Internship,Onsite,Mid,3,3-5 years,"$48,755 - $63,991","[""backend-developer"", ""healthcare-technology"", ""onsite"", ""mid""]",False
BrightPath Learning,Product Designer,"BrightPath Learning is hiring a Product Designer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Microservices"", ""PostgreSQL"", ""Docker"", ""Node.js"", ""Unit Testing"", ""Python"", ""Git"", ""AWS"", ""REST APIs""]","Delhi, India",Internship,Remote,Mid,2,2-4 years,"$48,828 - $79,456","[""product-designer"", ""education-technology"", ""remote"", ""mid""]",False
TerraGrid Energy,Finance Analyst,"TerraGrid Energy is hiring a Finance Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Forecasting"", ""Accounting"", ""Variance Analysis"", ""Excel""]","Sydney, Australia",Full-time,Onsite,Senior,5,5-7 years,"$47,710 - $68,584","[""finance-analyst"", ""renewable-energy"", ""onsite"", ""senior""]",False
UrbanNest Properties,Finance Analyst,"UrbanNest Properties is hiring a Finance Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Accounting"", ""QuickBooks"", ""Financial Modeling"", ""Power BI"", ""Budgeting"", ""Forecasting"", ""Variance Analysis""]","Pokhara, Nepal",Part-time,Onsite,Senior,6,6-8 years,"$55,544 - $68,992","[""finance-analyst"", ""real-estate"", ""onsite"", ""senior""]",True
UrbanNest Properties,Digital Marketing Specialist,"UrbanNest Properties is hiring a Digital Marketing Specialist to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Marketing Automation"", ""SEO"", ""Meta Ads"", ""Google Analytics"", ""CRM""]","Bengaluru, India",Part-time,Hybrid,Senior,8,8-10 years,"$54,304 - $79,413","[""digital-marketing-specialist"", ""real-estate"", ""hybrid"", ""senior""]",False
NexaHealth Systems,DevOps Engineer,"NexaHealth Systems is hiring a DevOps Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Meta Ads"", ""Google Ads"", ""Google Analytics"", ""Copywriting"", ""Content Strategy"", ""SEO"", ""CRM""]","New York, NY",Contract,Hybrid,Mid,2,2-4 years,"$36,020 - $55,199","[""devops-engineer"", ""healthcare-technology"", ""hybrid"", ""mid""]",False
TerraGrid Energy,QA Engineer,"TerraGrid Energy is hiring a QA Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""React"", ""Unit Testing"", ""JavaScript"", ""TypeScript"", ""CI/CD"", ""REST APIs""]","New York, NY",Internship,Hybrid,Entry Level,1,1-3 years,"$48,956 - $61,652","[""qa-engineer"", ""renewable-energy"", ""hybrid"", ""entry-level""]",False
Himalaya Digital Bank,DevOps Engineer,"Himalaya Digital Bank is hiring a DevOps Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Wireframing"", ""Adobe Creative Suite"", ""User Research"", ""Design Systems"", ""Figma"", ""Journey Mapping"", ""Prototyping"", ""Usability Testing"", ""Accessibility""]",Singapore,Full-time,Onsite,Mid,3,3-5 years,"$51,739 - $75,742","[""devops-engineer"", ""financial-technology"", ""onsite"", ""mid""]",False
BrightPath Learning,Product Manager,"BrightPath Learning is hiring a Product Manager to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Jira"", ""Product Strategy"", ""Go-to-Market"", ""Agile"", ""A/B Testing""]",Singapore,Full-time,Hybrid,Senior,5,5-7 years,"$67,030 - $88,692","[""product-manager"", ""education-technology"", ""hybrid"", ""senior""]",False
OrbitPay,DevOps Engineer,"OrbitPay is hiring a DevOps Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""User Research"", ""Prototyping"", ""Design Systems"", ""Adobe Creative Suite"", ""Wireframing"", ""Accessibility"", ""Journey Mapping"", ""Usability Testing"", ""Figma""]","Delhi, India",Contract,Hybrid,Entry Level,1,1-3 years,"$41,982 - $63,382","[""devops-engineer"", ""payments"", ""hybrid"", ""entry-level""]",False
UrbanNest Properties,Product Designer,"UrbanNest Properties is hiring a Product Designer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Design Systems"", ""Adobe Creative Suite"", ""Prototyping"", ""Usability Testing"", ""Journey Mapping"", ""User Research"", ""Wireframing"", ""Accessibility""]","Bengaluru, India",Full-time,Hybrid,Mid,4,4-6 years,"$54,776 - $73,339","[""product-designer"", ""real-estate"", ""hybrid"", ""mid""]",True
Evergreen Logistics,DevOps Engineer,"Evergreen Logistics is hiring a DevOps Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Prototyping"", ""Journey Mapping"", ""Usability Testing"", ""Adobe Creative Suite""]",Singapore,Full-time,Hybrid,Entry Level,1,1-3 years,"$41,945 - $59,049","[""devops-engineer"", ""logistics"", ""hybrid"", ""entry-level""]",False
