company_name,email,phone,hr_name,company_address,headquarters,country,description,industry,company_type,company_size,founded_year,website,hiring_frequency,remote_hiring,international_hiring,preferred_locations,hiring_categories,linkedin_url
CloudRiver Labs,careers@cloudriverlabs.com,+91-622-850-8398,Dev Anderson,"562 Main Avenue, Delhi, India","Delhi, India",India,SaaS platform for workflow automation and analytics.,Technology,Non-profit,11-50,2021,https://cloudriverlabs.com,Seasonal,False,False,"[""Singapore"", ""New York, NY"", ""Austin, TX""]","[""HR"", ""Technology""]",https://www.linkedin.com/company/cloudriver-labs
Himalaya Digital Bank,careers@himalayadigitalbank.com,+971-837-843-6504,Amelia Singh,"461 Tech Park, Dubai, UAE","Dubai, UAE",United Arab Emirates,Digital banking products for consumers and small businesses.,Financial Technology,Startup,51-200,2013,https://himalayadigitalbank.com,Monthly,True,True,"[""Singapore"", ""Dubai, UAE"", ""Kathmandu, Nepal"", ""Delhi, India""]","[""Finance"", ""Design"", ""Marketing""]",https://www.linkedin.com/company/himalaya-digital-bank
NexaHealth Systems,careers@nexahealthsystems.com,+91-812-598-3541,Priya Davis,"602 Tech Park, Bengaluru, India","Bengaluru, India",India,Clinical operations and patient engagement software.,Healthcare Technology,Startup,1001-5000,2008,https://nexahealthsystems.com,Monthly,True,False,"[""Delhi, India"", ""Toronto, Canada"", ""New York, NY""]","[""Marketing"", ""Finance""]",https://www.linkedin.com/company/nexahealth-systems
Evergreen Logistics,careers@evergreenlogistics.com,+44-463-555-7752,Ryan Williams,"972 Main Avenue, London, UK","London, UK",United Kingdom,"Regional freight, warehousing, and last-mile delivery operations.",Logistics,Public,11-50,2013,https://evergreenlogistics.com,Seasonal,True,False,"[""Pokhara, Nepal"", ""Hyderabad, India"", ""London, UK"", ""Singapore""]","[""Design"", ""Finance"", ""Marketing"", ""Technology""]",https://www.linkedin.com/company/evergreen-logistics
BrightPath Learning,careers@brightpathlearning.com,+977-9868680536,Chloe Khan,"719 Main Avenue, Kathmandu, Nepal","Kathmandu, Nepal",Nepal,Online learning tools for professional certification programs.,Education Technology,Startup,201-500,2006,https://brightpathlearning.com,Quarterly,False,True,"[""Sydney, Australia"", ""London, UK"", ""Singapore"", ""Bengaluru, India"", ""Delhi, India""]","[""Design"", ""HR"", ""Product""]",https://www.linkedin.com/company/brightpath-learning
UrbanNest Properties,careers@urbannestproperties.com,+977-9876071803,Ethan Williams,"988 Tech Park, Lalitpur, Nepal","Lalitpur, Nepal",Nepal,Property management and leasing technology for urban rentals.,Real Estate,Startup,1001-5000,2009,https://urbannestproperties.com,Quarterly,False,True,"[""Pokhara, Nepal"", ""Bengaluru, India""]","[""Operations"", ""Technology""]",https://www.linkedin.com/company/urbannest-properties
OrbitPay,careers@orbitpay.io,+971-385-561-8496,Priya Bhandari,"730 Main Avenue, Dubai, UAE","Dubai, UAE",United Arab Emirates,Cross-border payment infrastructure for growing businesses.,Payments,Non-profit,1001-5000,2022,https://orbitpay.io,Monthly,False,True,"[""Pokhara, Nepal"", ""Delhi, India"", ""Austin, TX"", ""Sydney, Australia""]","[""Finance"", ""Technology"", ""Design"", ""Product""]",https://www.linkedin.com/company/orbitpay
Peak Retail Group,careers@peakretailgroup.com,+1-279-886-4661,Mia Bhandari,"671 Market Street, New York, NY","New York, NY",United States,Omnichannel retail group with stores and online marketplaces.,Retail,Startup,51-200,2021,https://peakretailgroup.com,Continuous,True,True,"[""London, UK"", ""Austin, TX""]","[""HR"", ""Design"", ""Operations""]",https://www.linkedin.com/company/peak-retail-group
TerraGrid Energy,careers@terragridenergy.com,+977-9892961437,Nadia Martinez,"893 Tech Park, Lalitpur, Nepal","Lalitpur, Nepal",Nepal,Solar and battery projects for commercial facilities.,Renewable Energy,Private,51-200,2013,https://terragridenergy.com,Seasonal,True,True,"[""Toronto, Canada"", ""Sydney, Australia"", ""New York, NY""]","[""Finance"", ""Technology"", ""Design""]",https://www.linkedin.com/company/terragrid-energy
BluePeak Studio,careers@bluepeakstudio.com,+977-9850738790,Jacob Lopez,"130 Market Street, Kathmandu, Nepal","Kathmandu, Nepal",Nepal,"Brand, content, and product design studio.",Design and Media,Non-profit,501-1000,2017,https://bluepeakstudio.com,Continuous,True,True,"[""Lalitpur, Nepal"", ""New York, NY"", ""Singapore"", ""Pokhara, Nepal""]","[""Finance"", ""Technology"", ""Design""]",https://www.linkedin.com/company/bluepeak-studio
MapleBridge Consulting,careers@maplebridgeconsulting.com,+977-9879500822,Maya Davis,"257 Innovation Road, Lalitpur, Nepal","Lalitpur, Nepal",Nepal,Operations and technology consulting for mid-market companies.,Consulting,Startup,51-200,2018,https://maplebridgeconsulting.com,Continuous,False,False,"[""Sydney, Australia"", ""London, UK""]","[""Product"", ""Marketing"", ""HR""]",https://www.linkedin.com/company/maplebridge-consulting
SwiftServe Hospitality,careers@swiftservehospitality.com,+1-463-752-2593,Zara Martinez,"910 Market Street, Vancouver, Canada","Vancouver, Canada",Canada,Cloud tools and managed services for hotels and restaurants.,Hospitality,Startup,51-200,2009,https://swiftservehospitality.com,Seasonal,True,False,"[""Lalitpur, Nepal"", ""Austin, TX"", ""Kathmandu, Nepal"", ""New York, NY""]","[""Marketing"", ""Design"", ""Operations""]",https://www.linkedin.com/company/swiftserve-hospitality
